,Id,date,org,tld,ccs,bcced,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,label,time_tz_corr,time,weekdays_tz_corr,weekdays,seconds,zero_sec
31,31,"Mon, 09 Jul 2018 09:20:22 -0600",send,grammarly.com,0,0,multipart/alternative,33,118,0,0,44,108661,3,55222,33622,0,0,33622,0
32,32,"Sun, 10 Jul 2016 10:42:13 +0000",iiitd,ac.in,0,0,multipart/mixed,0,2,0,0,112,1868,0,38533,38533,6,6,38533,0
33,33,"Thu, 6 Jun 2019 06:02:10 +0000",amazon,com,0,0,multipart/alternative,3,47,1,1,103,38446,0,21730,21730,3,3,21730,0
34,34,"Fri, 25 Mar 2016 08:38:46 +0000",bookmyshow,com,0,0,multipart/alternative,3,9,1,0,12,25787,0,31126,31126,4,4,31126,0
35,35,"Mon, 12 Mar 2018 15:02:33 -0500 (CDT)",nvidia,com,0,0,multipart/alternative,11,83,0,1,58,70863,0,72153,54153,0,0,54153,0
36,36,"Tue, 15 May 2018 07:26:59 -0600",send,grammarly.com,0,0,multipart/alternative,35,120,0,0,27,112320,3,48419,26819,1,1,26819,0
37,37,"Mon, 1 Feb 2016 10:52:41 +0530",iiitd,ac.in,0,0,multipart/alternative,2,6,1,0,80,8081,2,19361,39161,0,0,39161,0
38,38,"Mon, 14 Nov 2016 22:14:35 -0800 (PST)",classroom,google.com,0,0,multipart/alternative,6,14,0,0,105,6318,0,22475,80075,1,0,80075,0
39,39,"Sat, 21 Jul 2018 02:15:43 +0000",amazon,in,0,0,multipart/alternative,3,37,0,1,82,19627,3,8143,8143,5,5,8143,0
40,40,"Thu, 11 May 2017 17:49:47 +0000",bookmyshow,email,0,0,multipart/mixed,0,0,0,0,12,276063,0,64187,64187,3,3,64187,0
41,41,"Thu, 28 Nov 2019 00:39:00 +0000 (UTC)",flipkartletters,com,0,0,multipart/alternative,21,64,0,0,76,44044,3,2340,2340,3,3,2340,1
42,42,"Mon, 19 Dec 2016 16:34:40 +0530",iiitd,ac.in,3,0,multipart/alternative,0,0,1,0,39,1697,2,39880,59680,0,0,59680,0
43,43,"Tue, 25 Aug 2015 14:49:42 +0000",usebackpack,com,0,0,multipart/alternative,4,19,0,0,37,27148,0,53382,53382,1,1,53382,0
44,44,"Thu, 29 Mar 2018 17:32:12 +0000 (UTC)",quora,com,0,0,multipart/alternative,15,104,0,1,65,100175,1,63132,63132,3,3,63132,0
45,45,"Wed, 12 Jul 2017 10:09:45 +0000",topcoder,com,0,0,multipart/alternative,2,36,1,0,68,41371,0,36585,36585,2,2,36585,0
46,46,"Fri, 07 Apr 2017 15:28:00 +0530",nrsc,gov.in,0,0,multipart/alternative,0,4,1,0,32,1210,0,35880,55680,4,4,55680,1
47,47,"Mon, 16 Jul 2018 06:43:15 +0000",amazon,in,0,0,multipart/alternative,29,256,0,0,31,116494,3,24195,24195,0,0,24195,0
48,48,"Tue, 15 Sep 2015 12:17:16 +0000",twitter,com,0,0,multipart/alternative,16,140,0,0,70,84727,1,44236,44236,1,1,44236,0
49,49,"Fri, 17 Nov 2017 10:23:17 +0000 (UTC)",udacity,com,0,0,multipart/alternative,10,36,1,0,74,48813,3,37397,37397,4,4,37397,0
50,50,"Thu, 14 Sep 2017 06:33:18 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,113,4,3,23598,23598,3,3,23598,0
51,51,"Sun, 18 Mar 2018 08:27:52 +0000 (UTC)",gmail,com,0,0,multipart/alternative,0,9,0,0,116,11608,0,30472,30472,6,6,30472,0
52,52,"Wed, 7 Sep 2016 18:30:18 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,17,71,0,1,91,78901,1,66618,66618,2,2,66618,0
53,53,"Tue, 05 Feb 2019 04:16:28 -0800",google,com,0,0,text/html,6,28,0,0,36,8863,0,44188,15388,1,1,15388,0
54,54,"Wed, 16 Sep 2015 21:02:29 +0000",usebackpack,com,0,0,multipart/alternative,4,17,0,0,34,31414,0,75749,75749,2,2,75749,0
55,55,"Wed, 25 Oct 2017 22:00:00 -0700",mentor,com,0,0,multipart/alternative,4,17,0,0,88,7653,3,18000,79200,3,2,79200,1
56,56,"Wed, 29 Nov 2017 13:32:09 +0000",,,0,0,text/plain,0,1,0,0,51,465,0,48729,48729,2,2,48729,0
57,57,"Fri, 07 Jul 2017 08:36:21 +0000 (UTC)",udacity,com,0,0,multipart/alternative,12,41,1,0,57,58294,3,30981,30981,4,4,30981,0
58,58,"Thu, 13 Aug 2015 03:03:14 -0700 (PDT)",plus,google.com,0,0,multipart/alternative,14,43,0,0,35,15033,1,36194,10994,3,3,10994,0
59,59,"Tue, 28 Mar 2017 12:11:19 -0700",mentor,com,0,0,multipart/alternative,0,10,0,0,40,3545,3,69079,43879,1,1,43879,0
60,60,"Fri, 18 Aug 2017 18:48:40 +0000",topcoder,com,0,0,multipart/alternative,14,83,1,1,156,116910,3,67720,67720,4,4,67720,0
61,61,"Sat, 17 Jun 2017 10:10:45 +0530",iiitd,ac.in,0,0,multipart/alternative,0,7,1,0,10,3990,2,16845,36645,5,5,36645,0
62,62,"Sat, 28 Oct 2017 10:36:00 +0200",reply,ebay.in,0,0,multipart/alternative,34,128,0,0,57,79385,3,30960,38160,5,5,38160,1
63,63,"Tue, 23 Aug 2016 19:14:38 +0530",iiitd,ac.in,1,0,multipart/alternative,0,0,1,0,24,313,2,49478,69278,1,1,69278,0
64,64,"Thu, 24 May 2018 21:21:18 +0000 (UTC)",brilliant,org,0,0,multipart/alternative,3,17,1,0,43,36122,0,76878,76878,3,3,76878,0
65,65,"Mon, 03 Dec 2018 17:40:06 +0000",quora,com,0,0,multipart/alternative,7,89,1,0,68,90366,0,63606,63606,0,0,63606,0
66,66,"Mon, 20 Jul 2015 00:11:48 +0000",coursera,org,0,0,multipart/alternative,4,39,1,1,44,29312,0,708,708,0,0,708,0
67,67,"Fri, 29 Apr 2016 12:56:08 +0530",iiitd,ac.in,2,0,multipart/related,0,0,0,0,21,11228,2,26768,46568,4,4,46568,0
68,68,"Sun, 22 Oct 2017 14:07:02 +0530",iiitd,ac.in,1,0,multipart/mixed,0,48,0,0,19,2784903,2,31022,50822,6,6,50822,0
69,69,"Wed, 11 Jan 2017 02:03:21 +0530",iiitd,ac.in,0,0,multipart/alternative,0,1,1,0,39,2670,2,74001,7401,1,2,7401,0
70,70,"Wed, 18 May 2016 01:01:24 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,9,41,0,1,113,41323,1,3684,3684,2,2,3684,0
71,71,"Thu, 19 Jul 2018 01:02:34 +0000 (UTC)",flipkartletters,com,0,0,text/html,39,91,1,0,88,65307,3,3754,3754,3,3,3754,0
72,72,"Tue, 31 Jul 2018 01:55:19 +0000 (UTC)",codalab,org,0,0,multipart/alternative,1,9,0,0,50,5501,0,6919,6919,1,1,6919,0
73,73,"Thu, 7 Jul 2016 14:07:01 +0530",iiitd,ac.in,2,0,multipart/alternative,0,0,1,0,35,2433,2,31021,50821,3,3,50821,0
74,74,"Mon, 17 Aug 2015 06:35:28 +0000",usebackpack,com,0,0,multipart/alternative,4,17,0,0,35,30288,0,23728,23728,0,0,23728,0
75,75,"Tue, 11 Jun 2019 01:52:50 -0700",google,com,0,0,text/html,20,84,0,0,36,24461,0,31970,6770,1,1,6770,0
76,76,"Sat, 23 Nov 2019 21:33:35 +0530",mail,kotak.in,0,0,multipart/alternative,0,10,1,0,42,3650,3,57815,77615,5,5,77615,0
77,77,"Mon, 06 Feb 2017 07:32:55 -0600",news,foodpanda.in,0,0,multipart/alternative,17,56,0,0,76,58243,3,48775,27175,0,0,27175,0
78,78,"Tue, 27 Dec 2016 12:28:20 +0530",iiitd,ac.in,4,0,multipart/alternative,0,0,1,0,39,3372,2,25100,44900,1,1,44900,0
79,79,"Fri, 1 Jul 2016 18:04:43 +0530",iiitd,ac.in,4,0,multipart/alternative,0,9,1,0,49,7191,2,45283,65083,4,4,65083,0
80,80,"Fri, 4 Aug 2017 15:44:55 -0400 (EDT)",edx,org,0,0,multipart/alternative,11,35,0,0,99,32897,3,71095,56695,4,4,56695,0
81,81,"Mon, 13 May 2019 13:00:13 +0000 (GMT)",google,com,0,0,text/plain,0,0,1,0,91,1146,0,46813,46813,0,0,46813,0
82,82,"Tue, 06 Oct 2015 14:14:06 +0000",usebackpack,com,0,0,multipart/alternative,4,19,0,0,38,27097,0,51246,51246,1,1,51246,0
83,83,"Thu, 8 Feb 2018 17:47:20 +0530",bigbasket,in,0,0,text/html,10,26,0,0,37,14881,3,44240,64040,3,3,64040,0
84,84,"Thu, 28 Apr 2016 14:06:21 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,1,1,31,9011,2,30981,50781,3,3,50781,0
85,85,11 Dec 2018 21:21:13 +0100,,,0,0,text/html,0,1,1,0,44,1434,0,73273,76873,1,1,76873,0
86,86,"Mon, 5 Jun 2017 09:34:26 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,4,26,0,1,29,23182,1,34466,34466,0,0,34466,0
87,87,19 Jun 2018 07:46:16 +0530,,,0,0,text/plain,0,0,0,0,57,674,0,8176,27976,1,1,27976,0
88,88,"Tue, 27 Jun 2017 23:02:13 +0000 (UTC)",,,0,0,text/html,5,26,0,1,19,6975,0,82933,82933,1,1,82933,0
89,89,"Tue, 27 Jun 2017 17:37:37 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,1,0,52,1937,2,43657,63457,1,1,63457,0
90,90,"Wed, 8 Jun 2016 09:51:44 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,4,26,0,0,45,20258,1,35504,35504,2,2,35504,0
91,91,"Thu, 13 Jun 2019 12:04:20 +0000",signalprocessingsociety,org,0,0,multipart/alternative,10,60,0,0,133,86802,3,43460,43460,3,3,43460,0
92,92,"Sat, 27 Jan 2018 22:36:21 -0800",mail,instagram.com,0,0,text/html,4,29,0,0,47,18514,1,23781,81381,6,5,81381,0
93,93,"Sat, 6 May 2017 23:52:13 +0530",iiitd,ac.in,0,0,multipart/alternative,0,2,1,0,39,7894,2,66133,85933,5,5,85933,0
94,94,"Wed, 16 Nov 2016 11:53:29 +0530",iiitd,ac.in,0,0,multipart/alternative,1,3,1,0,37,3145,2,23009,42809,2,2,42809,0
95,95,"Thu, 20 Oct 2016 07:20:18 -0700 (PDT)",quora,com,0,0,multipart/alternative,8,95,0,0,114,82866,1,51618,26418,3,3,26418,0
96,96,"Mon, 30 Jul 2018 14:54:12 +0000",crowdai,org,0,0,multipart/alternative,4,25,0,0,99,45326,0,53652,53652,0,0,53652,0
97,97,"Wed, 8 Mar 2017 19:02:02 -0800",e,linkedin.com,0,0,multipart/mixed,0,0,0,0,26,4,1,10922,68522,3,2,68522,0
98,98,11 Feb 2018 19:53:20 +0530,,,0,0,text/plain,0,0,0,0,57,529,0,51800,71600,6,6,71600,0
99,99,"Mon, 10 Dec 2018 13:54:39 +0000",centralesupelec,fr,0,0,multipart/mixed,0,12,1,0,117,4447447,2,50079,50079,0,0,50079,0
100,100,"Thu, 29 Jun 2017 17:23:41 -0600",e-mail,microsoft.com,0,0,multipart/alternative,21,163,1,1,42,147500,0,84221,62621,3,3,62621,0
101,101,"Tue, 24 May 2016 01:55:44 +0000",change,org,0,0,multipart/alternative,4,41,1,1,16,59172,0,6944,6944,1,1,6944,0
102,102,"Sun, 28 Jan 2018 00:23:06 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,34,4,3,1386,1386,6,6,1386,0
103,103,"Thu, 22 Jun 2017 14:16:26 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,42,4,3,51386,51386,3,3,51386,0
104,104,"Tue, 18 Dec 2018 15:31:33 -0600",send,grammarly.com,0,0,multipart/alternative,38,146,0,0,48,124047,3,77493,55893,1,1,55893,0
105,105,"Mon, 17 Dec 2018 15:25:26 +0100",centralesupelec,fr,0,0,text/html,5,21,1,0,104,32684,2,51926,55526,0,0,55526,0
106,106,"Fri, 24 Jul 2015 00:19:13 +0000",usebackpack,com,0,0,multipart/alternative,4,19,0,0,37,28170,0,1153,1153,4,4,1153,0
107,107,"Tue,  9 May 2017 00:16:43 -0700 (PDT)",slack,com,0,0,multipart/alternative,3,19,0,0,38,17550,0,26203,1003,1,1,1003,0
108,108,"Mon, 16 Oct 2017 23:45:05 +0000",InsideApple,Apple.com,0,0,multipart/alternative,23,62,0,0,63,43508,3,85505,85505,0,0,85505,0
109,109,"Sun, 04 Dec 2016 00:09:46 +0000 (UTC)",,,1,0,multipart/alternative,0,3,0,0,27,6191,0,586,586,6,6,586,0
110,110,"Mon, 13 Mar 2017 00:07:33 -0700 (PDT)",,,0,0,,0,3,1,0,162,4137,0,25653,453,0,0,453,0
111,111,"Tue, 3 Apr 2018 10:44:04 +0200 (CEST)",cleartrip,com,0,0,multipart/alternative,14,46,1,0,36,38695,3,31444,38644,1,1,38644,0
112,112,"Fri, 07 Apr 2017 10:10:01 +0530",nrsc,gov.in,0,0,multipart/alternative,0,4,1,0,32,1210,0,16801,36601,4,4,36601,0
113,113,"Fri, 8 Dec 2017 17:34:01 +0000",academia-mail,com,0,0,multipart/alternative,4,19,0,0,33,36541,1,63241,63241,4,4,63241,0
114,114,"Wed, 20 Dec 2017 17:18:40 +0530",clubvistara,com,0,0,multipart/alternative,11,41,1,0,67,20065,3,42520,62320,2,2,62320,0
115,115,29 Dec 2017 02:41:39 +0530,,,0,0,text/plain,0,0,0,0,57,492,0,76299,9699,3,4,9699,0
116,116,"Sat, 30 Dec 2017 09:32:04 +0100",reply,ebay.in,0,0,multipart/alternative,33,134,0,0,53,83268,3,30724,34324,5,5,34324,0
117,117,"Thu, 03 Aug 2017 05:41:36 +0000 (UTC)",flipkartletters,com,0,0,text/html,17,47,0,0,55,32589,3,20496,20496,3,3,20496,0
118,118,"Wed, 28 Sep 2016 09:46:13 +0200 (CEST)",,,0,0,multipart/mixed,0,0,1,0,26,6983600,0,27973,35173,2,2,35173,0
119,119,"Fri, 07 Apr 2017 10:16:01 +0530",nrsc,gov.in,0,0,multipart/alternative,0,4,1,0,32,1210,0,17161,36961,4,4,36961,0
120,120,"Fri, 15 Mar 2019 10:18:59 +0000",centralesupelec,fr,0,0,multipart/related,0,5,0,0,115,16582,2,37139,37139,4,4,37139,0
121,121,"Mon, 22 Oct 2018 19:28:15 -0700",github,com,0,0,text/plain,0,1,0,0,65,377,0,8895,70095,1,0,70095,0
122,122,"Tue, 23 Jan 2018 16:51:07 +0000 (UTC)",brilliant,org,0,0,multipart/alternative,5,27,0,0,43,42522,3,60667,60667,1,1,60667,0
123,123,"Tue, 12 Jun 2018 08:54:48 -0700",github,com,1,0,multipart/alternative,3,18,0,0,73,3979,2,57288,32088,1,1,32088,0
124,124,"Mon, 09 May 2016 15:35:26 +0000",hackerrankmail,com,0,0,multipart/alternative,4,27,0,0,37,29951,0,56126,56126,0,0,56126,0
125,125,"Mon, 11 May 2015 02:46:33 +0000 (UTC)",accounts,google.com,0,0,multipart/related,0,0,0,0,28,19868,0,9993,9993,0,0,9993,0
126,126,"Thu, 4 May 2017 12:13:07 +0530",iiitd,ac.in,1,0,multipart/alternative,0,13,1,0,17,7081,2,24187,43987,3,3,43987,0
127,127,"Sat, 30 Apr 2016 12:18:37 +0000",usebackpack,com,0,0,text/html,4,14,0,0,37,24828,0,44317,44317,5,5,44317,0
128,128,"Fri, 20 Oct 2017 02:19:59 +0000",mail,goodreads.com,0,0,multipart/alternative,50,241,1,0,38,110200,1,8399,8399,4,4,8399,0
129,129,"Sat, 16 Jul 2016 18:06:55 +0530",iiitd,ac.in,1,0,multipart/alternative,0,8,1,0,24,11795,2,45415,65215,5,5,65215,0
130,130,"Sun, 28 Feb 2016 16:46:46 +0000",youtube,com,0,0,multipart/alternative,12,51,0,0,81,44516,1,60406,60406,6,6,60406,0
131,131,"Mon, 11 Jul 2016 21:29:25 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,16,68,0,1,84,71108,1,77365,77365,0,0,77365,0
132,132,"Sat, 15 Aug 2015 15:20:07 +0000 (UTC)",quora,com,0,0,multipart/alternative,2,121,1,1,39,95273,1,55207,55207,5,5,55207,0
133,133,"Tue, 2 Aug 2016 16:32:36 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,0,0,6,366,2,39756,59556,1,1,59556,0
134,134,"Fri, 07 Apr 2017 10:10:01 +0530",nrsc,gov.in,0,0,multipart/alternative,0,4,1,0,32,1210,0,16801,36601,4,4,36601,0
135,135,"Tue, 07 May 2019 08:41:20 -0700",google,com,0,0,text/html,8,36,0,0,32,11034,0,56480,31280,1,1,31280,0
136,136,"Mon, 24 Aug 2015 11:19:56 +0000 (UTC)",piazza,com,0,0,multipart/alternative,0,8,0,1,30,2418,0,40796,40796,0,0,40796,0
137,137,05 Feb 2018 19:08:57 +0530,,,0,0,text/plain,0,0,0,0,57,524,0,49137,68937,0,0,68937,0
138,138,"Thu, 22 Mar 2018 09:30:44 +0000",m,mail.coursera.org,0,0,multipart/alternative,31,119,1,0,28,87449,3,34244,34244,3,3,34244,0
139,139,"Sat, 01 Jun 2019 04:30:57 -0700",google,com,0,0,text/html,20,84,0,0,40,25332,0,41457,16257,5,5,16257,0
140,140,"Wed, 25 Jul 2018 07:30:30 +0000",crowdai,org,0,0,multipart/alternative,5,42,1,0,146,59000,0,27030,27030,2,2,27030,0
141,141,"Tue, 10 May 2016 09:28:02 +0000",twitter,com,0,0,multipart/alternative,20,129,0,0,87,72403,1,34082,34082,1,1,34082,0
142,142,"Thu, 26 Oct 2017 20:10:00 -0700",youtube,com,0,0,multipart/alternative,38,115,0,0,79,78727,1,11400,72600,4,3,72600,1
143,143,"Fri, 15 Sep 2017 10:41:48 +0000",twitter,com,0,0,multipart/alternative,9,54,0,1,70,35879,1,38508,38508,4,4,38508,0
144,144,"Mon, 11 Mar 2019 07:46:06 +0000",amazon,com,0,0,multipart/alternative,1,45,0,1,47,30447,0,27966,27966,0,0,27966,0
145,145,"Fri, 30 Sep 2016 10:52:59 +0530",iiitd,ac.in,2,0,multipart/mixed,2,0,0,0,37,670871,2,19379,39179,4,4,39179,0
146,146,"Sun, 31 Mar 2019 17:42:48 +0200",thefork,com,0,0,multipart/alternative,7,17,1,0,99,21777,0,56568,63768,6,6,63768,0
147,147,"Fri, 25 Oct 2019 00:13:17 +0000",amazon,in,0,0,multipart/alternative,30,253,0,0,15,116395,3,797,797,4,4,797,0
148,148,"Tue, 8 May 2018 00:05:04 +0000",amazon,in,0,0,multipart/alternative,20,177,0,0,103,88677,3,304,304,1,1,304,0
149,149,"Sun, 23 Jul 2017 14:02:57 -0700",mail,instagram.com,0,0,text/html,21,89,0,1,69,54396,1,75777,50577,6,6,50577,0
150,150,"Thu, 13 Sep 2018 08:17:39 +0000",redwolf,in,0,0,multipart/alternative,5,22,0,0,48,5119,3,29859,29859,3,3,29859,0
151,151,"Sat, 22 Oct 2016 14:50:18 +0000",youtube,com,0,0,multipart/alternative,20,83,1,0,75,75546,1,53418,53418,5,5,53418,0
152,152,"Wed, 2 Nov 2016 14:10:33 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,1,0,111,8687,2,31233,51033,2,2,51033,0
153,153,"Thu, 27 Sep 2018 00:09:23 +0000",amazon,in,0,0,multipart/alternative,30,250,1,0,11,113728,3,563,563,3,3,563,0
154,154,"Tue, 2 Jun 2015 09:55:44 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,7,21,1,0,45,30112,1,35744,35744,1,1,35744,0
155,155,"Sun, 30 Aug 2015 07:39:28 -0700",facebookmail,com,0,0,multipart/alternative,4,16,0,0,33,11400,1,52768,27568,6,6,27568,0
156,156,"Thu, 30 May 2019 05:05:03 -0700",google,com,0,0,text/html,2,12,0,0,37,4438,0,43503,18303,3,3,18303,0
157,157,"Fri, 23 Feb 2018 12:26:07 +0000",academia-mail,com,0,0,multipart/alternative,1,13,1,0,154,38961,0,44767,44767,4,4,44767,0
158,158,"Sun, 2 Jul 2017 17:31:25 +0000",olacabs,com,0,0,multipart/mixed,1,35,0,0,34,80457,0,63085,63085,6,6,63085,0
159,159,"Thu, 15 Mar 2018 09:40:21 +0000",,,0,0,multipart/alternative,9,61,0,0,61,24734,0,34821,34821,3,3,34821,0
160,160,"Thu, 1 Feb 2018 03:05:10 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,9,49,0,0,57,42559,0,11110,11110,3,3,11110,0
161,161,"Mon, 28 Nov 2016 12:45:03 +0530",iiitd,ac.in,3,0,multipart/alternative,0,0,1,1,36,2383,2,26103,45903,0,0,45903,0
162,162,"Fri, 29 Jan 2016 11:07:44 +0000",usebackpack,com,0,0,multipart/alternative,4,19,0,0,37,27440,0,40064,40064,4,4,40064,0
163,163,"Thu, 26 Oct 2017 19:18:10 +0000",amazon,in,0,0,multipart/alternative,2,74,1,0,55,29109,0,69490,69490,3,3,69490,0
164,164,"Tue, 19 Jul 2016 13:28:02 +0530",iiitd,ac.in,2,0,multipart/alternative,0,1,0,0,30,4682,2,28682,48482,1,1,48482,0
165,165,"Wed, 9 Nov 2016 18:05:58 +0530",iiitd,ac.in,0,0,multipart/alternative,0,6,1,0,76,9713,2,45358,65158,2,2,65158,0
166,166,"Fri, 02 Jun 2017 06:30:00 -0700",mentor,com,0,0,multipart/alternative,0,11,1,0,42,3751,3,48600,23400,4,4,23400,1
167,167,"Thu, 30 Jun 2016 11:02:48 +0530",iiitd,ac.in,2,0,multipart/alternative,0,2,1,0,33,1958,2,19968,39768,3,3,39768,0
168,168,"Thu, 28 Dec 2017 10:38:22 +0000",redwolf,in,0,0,multipart/alternative,8,27,0,0,51,6144,3,38302,38302,3,3,38302,0
169,169,"Sat, 23 Dec 2017 17:08:49 +0000",amazon,in,0,0,multipart/alternative,2,74,1,0,55,28231,0,61729,61729,5,5,61729,0
170,170,"Tue, 29 Aug 2017 17:17:13 +0000",twitter,com,0,0,multipart/alternative,26,121,0,0,45,61905,1,62233,62233,1,1,62233,0
171,171,"Thu, 14 Sep 2017 15:46:35 -0700 (PDT)",quora,com,0,0,multipart/alternative,16,73,0,1,119,51464,3,81995,56795,3,3,56795,0
172,172,"Sat, 11 Aug 2018 06:43:13 +0000",amazon,in,0,0,multipart/alternative,25,146,0,0,44,67366,3,24193,24193,5,5,24193,0
173,173,"Mon, 17 Jul 2017 16:49:20 +0000",dropboxmail,com,1,0,multipart/alternative,4,19,0,0,54,9552,0,60560,60560,0,0,60560,0
174,174,"Fri, 11 Mar 2016 22:25:00 +0530",iiitd,ac.in,0,0,multipart/alternative,0,3,1,0,46,2809,2,60900,80700,4,4,80700,1
